Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Fungal infection,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Allergy,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
GERD,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Chronic cholestasis,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Drug Reaction,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Peptic ulcer disease,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
AIDS,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Diabetes,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Gastroenteritis,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Bronchial Asthma,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Hypertension,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Migraine,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Cervical spondylosis,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Paralysis (brain hemorrhage),Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Jaundice,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Malaria,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Chicken pox,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Dengue,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Typhoid,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Hepatitis A,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Hepatitis B,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Hepatitis C,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Hepatitis D,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Hepatitis E,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Alcoholic hepatitis,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Tuberculosis,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Common Cold,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Pneumonia,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Dimorphic hemorrhoids,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Heart attack,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Varicose veins,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Hypothyroidism,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Hyperthyroidism,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Hypoglycemia,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Osteoarthritis,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Arthritis,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Vertigo,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Acne,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Urinary tract infection,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Psoriasis,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
Impetigo,Consult a doctor immediately,Take prescribed medications,Rest and stay hydrated,Follow a healthy diet
